project_id,bucket_month,event_type,amount
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-06-01 00:00:00.000000 UTC,COMMIT_CODE,578.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-08-01 00:00:00.000000 UTC,ISSUE_OPENED,82.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-05-01 00:00:00.000000 UTC,STARRED,114.0
r06ZetKFJUG0eWrHEAW5wIlDXFDxyiZQdxxSqnmqs0k=,2024-12-01 00:00:00.000000 UTC,ISSUE_CLOSED,18.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-12-01 00:00:00.000000 UTC,STARRED,36.0
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,2024-10-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,1536.0
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,2024-10-01 00:00:00.000000 UTC,STARRED,44.0
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,2024-01-01 00:00:00.000000 UTC,PULL_REQUEST_REVIEW_COMMENT,254.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-10-01 00:00:00.000000 UTC,COMMIT_CODE,486.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-06-01 00:00:00.000000 UTC,FORKED,107.0
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,2024-12-01 00:00:00.000000 UTC,PULL_REQUEST_CLOSED,764.0
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,2024-03-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,730.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-01-01 00:00:00.000000 UTC,ISSUE_COMMENT,229.0
9FPohrEjU-h_5BTmL-HBlyLH7f9rLprx2zqBddNDtn0=,2024-01-01 00:00:00.000000 UTC,STARRED,21.0
